# Gnuplot File : forces of 1 particle(s) Monitored
# 1st Column : time, others : particle(s) number 0 
0.005	0 0 0 0 0 0	
0.01	0 0 0 0 0 0	
0.015	0 0 0 0 0 0	
0.02	-13.4213 8.65508 12.7617 -0.00199856 -0.00322893 8.80338e-05	
0.025	-938.823 2804 2570.08 -0.559748 -0.388797 0.219714	
0.03	-428.894 2626.87 4328.34 -0.632096 -0.484 0.231106	
0.035	-1726.81 7474.38 9824.41 -1.65883 -1.21024 0.629176	
0.04	-522.573 7274.85 13776.6 -1.85089 -1.41564 0.677329	
0.045	-706.908 9628 19536.6 -2.52271 -2.00245 0.895562	
0.05	-2032.59 10252.6 26584.6 -3.01054 -2.88354 0.881886	
0.055	-3059.08 10674.8 32933.2 -3.42915 -3.65236 0.865327	
