# Gnuplot File : forces of 1 particle(s) Monitored
# 1st Column : time, others : particle(s) number 0 
0.005	0 0 0 0 0 0	
0.01	0 0 0 0 0 0	
0.015	0 0 0 0 0 0	
0.02	13.4213 -8.65508 12.7617 0.00199856 0.00322893 8.80338e-05	
0.025	938.819 -2804 2570.08 0.559747 0.388796 0.219715	
0.03	428.871 -2626.86 4328.32 0.632094 0.483995 0.231106	
0.035	1726.74 -7474.35 9824.36 1.65882 1.21022 0.629178	
0.04	522.463 -7274.79 13776.5 1.85088 1.41561 0.67733	
0.045	706.629 -9627.9 19536.4 2.52268 2.00239 0.895569	
0.05	2032.31 -10252.5 26584.3 3.01051 2.88348 0.88189	
0.055	3058.66 -10674.6 32932.9 3.4291 3.65226 0.865332	
